tablename,indexname,indexdef
error_logs,idx_error_logs_severity,CREATE INDEX idx_error_logs_severity ON public.error_logs USING btree (severity)
error_logs,idx_error_logs_user,CREATE INDEX idx_error_logs_user ON public.error_logs USING btree (user_id)
error_logs,idx_error_logs_vertical,CREATE INDEX idx_error_logs_vertical ON public.error_logs USING btree (vertical_id) WHERE (vertical_id IS NOT NULL)
error_reports,error_reports_pkey,CREATE UNIQUE INDEX error_reports_pkey ON public.error_reports USING btree (id)
error_reports,idx_error_reports_assigned_to,CREATE INDEX idx_error_reports_assigned_to ON public.error_reports USING btree (assigned_to_user_id)
error_reports,idx_error_reports_code,"CREATE INDEX idx_error_reports_code ON public.error_reports USING btree (error_code, created_at DESC)"
error_reports,idx_error_reports_escalated,"CREATE INDEX idx_error_reports_escalated ON public.error_reports USING btree (escalation_level, status, created_at DESC) WHERE (escalation_level = 'platform_admin'::text)"
error_reports,idx_error_reports_escalated_by,CREATE INDEX idx_error_reports_escalated_by ON public.error_reports USING btree (escalated_by_user_id)
error_reports,idx_error_reports_pending,"CREATE INDEX idx_error_reports_pending ON public.error_reports USING btree (status, created_at DESC) WHERE (status = 'pending'::text)"
error_reports,idx_error_reports_reported_by,CREATE INDEX idx_error_reports_reported_by ON public.error_reports USING btree (reported_by_user_id)
error_reports,idx_error_reports_resolution,CREATE INDEX idx_error_reports_resolution ON public.error_reports USING btree (resolution_id) WHERE (resolution_id IS NOT NULL)
error_reports,idx_error_reports_resolved_by,CREATE INDEX idx_error_reports_resolved_by ON public.error_reports USING btree (resolved_by_user_id)
error_reports,idx_error_reports_trace,CREATE INDEX idx_error_reports_trace ON public.error_reports USING btree (trace_id) WHERE (trace_id IS NOT NULL)
error_reports,idx_error_reports_vertical,"CREATE INDEX idx_error_reports_vertical ON public.error_reports USING btree (vertical_id, status, created_at DESC)"
error_resolutions,error_resolutions_pkey,CREATE UNIQUE INDEX error_resolutions_pkey ON public.error_resolutions USING btree (id)
error_resolutions,idx_error_resolutions_code,CREATE INDEX idx_error_resolutions_code ON public.error_resolutions USING btree (error_code)
error_resolutions,idx_error_resolutions_failed,"CREATE INDEX idx_error_resolutions_failed ON public.error_resolutions USING btree (error_code, status) WHERE (status = 'failed'::text)"
error_resolutions,idx_error_resolutions_pending,"CREATE INDEX idx_error_resolutions_pending ON public.error_resolutions USING btree (status, created_at) WHERE (status = 'pending'::text)"
error_resolutions,idx_error_resolutions_trace,CREATE INDEX idx_error_resolutions_trace ON public.error_resolutions USING btree (trace_id) WHERE (trace_id IS NOT NULL)
error_resolutions,idx_error_resolutions_verified,"CREATE INDEX idx_error_resolutions_verified ON public.error_resolutions USING btree (error_code, status) WHERE (status = 'verified'::text)"
event_change_requests,event_change_requests_pkey,CREATE UNIQUE INDEX event_change_requests_pkey ON public.event_change_requests USING btree (id)
event_change_requests,idx_event_change_requests_event,"CREATE INDEX idx_event_change_requests_event ON public.event_change_requests USING btree (catering_request_id, created_at DESC)"
event_change_requests,idx_event_change_requests_pending,CREATE INDEX idx_event_change_requests_pending ON public.event_change_requests USING btree (created_at) WHERE (status = 'pending'::text)
event_change_requests,uq_event_change_requests_one_pending,CREATE UNIQUE INDEX uq_event_change_requests_one_pending ON public.event_change_requests USING btree (catering_request_id) WHERE (status = 'pending'::text)
event_company_payments,event_company_payments_pkey,CREATE UNIQUE INDEX event_company_payments_pkey ON public.event_company_payments USING btree (id)
event_company_payments,idx_event_company_payments_catering,CREATE INDEX idx_event_company_payments_catering ON public.event_company_payments USING btree (catering_request_id)
event_company_payments,idx_event_company_payments_market,CREATE INDEX idx_event_company_payments_market ON public.event_company_payments USING btree (market_id)
event_ratings,event_ratings_catering_request_id_user_id_key,"CREATE UNIQUE INDEX event_ratings_catering_request_id_user_id_key ON public.event_ratings USING btree (catering_request_id, user_id)"
event_ratings,event_ratings_pkey,CREATE UNIQUE INDEX event_ratings_pkey ON public.event_ratings USING btree (id)
event_ratings,idx_event_ratings_event,CREATE INDEX idx_event_ratings_event ON public.event_ratings USING btree (catering_request_id)
event_ratings,idx_event_ratings_status,CREATE INDEX idx_event_ratings_status ON public.event_ratings USING btree (status)
event_ratings,idx_event_ratings_user,CREATE INDEX idx_event_ratings_user ON public.event_ratings USING btree (user_id)
event_vendor_fee_payments,event_vendor_fee_payments_pkey,CREATE UNIQUE INDEX event_vendor_fee_payments_pkey ON public.event_vendor_fee_payments USING btree (id)
event_vendor_fee_payments,idx_evfp_market_status,"CREATE INDEX idx_evfp_market_status ON public.event_vendor_fee_payments USING btree (market_id, status)"
event_vendor_fee_payments,idx_evfp_vendor,CREATE INDEX idx_evfp_vendor ON public.event_vendor_fee_payments USING btree (vendor_profile_id)
event_vendor_fee_payments,uq_evfp_one_live_per_vendor,"CREATE UNIQUE INDEX uq_evfp_one_live_per_vendor ON public.event_vendor_fee_payments USING btree (market_id, vendor_profile_id) WHERE (status = ANY (ARRAY['pending_payment'::text, 'paid'::text, 'covered'::text]))"
event_vendor_listings,event_vendor_listings_pkey,CREATE UNIQUE INDEX event_vendor_listings_pkey ON public.event_vendor_listings USING btree (id)
event_vendor_listings,event_vendor_listings_unique,"CREATE UNIQUE INDEX event_vendor_listings_unique ON public.event_vendor_listings USING btree (market_id, listing_id)"
event_vendor_listings,idx_event_vendor_listings_listing,CREATE INDEX idx_event_vendor_listings_listing ON public.event_vendor_listings USING btree (listing_id)
event_vendor_listings,idx_event_vendor_listings_market_vendor,"CREATE INDEX idx_event_vendor_listings_market_vendor ON public.event_vendor_listings USING btree (market_id, vendor_profile_id)"
event_wave_reservations,event_wave_reservations_pkey,CREATE UNIQUE INDEX event_wave_reservations_pkey ON public.event_wave_reservations USING btree (id)
event_wave_reservations,idx_event_wave_reservations_market_user,"CREATE INDEX idx_event_wave_reservations_market_user ON public.event_wave_reservations USING btree (market_id, user_id)"
event_wave_reservations,idx_event_wave_reservations_status,CREATE INDEX idx_event_wave_reservations_status ON public.event_wave_reservations USING btree (status)
event_wave_reservations,idx_event_wave_reservations_wave,CREATE INDEX idx_event_wave_reservations_wave ON public.event_wave_reservations USING btree (wave_id)
event_wave_reservations,uq_event_wave_reservations_market_user,"CREATE UNIQUE INDEX uq_event_wave_reservations_market_user ON public.event_wave_reservations USING btree (market_id, user_id)"
event_waves,event_waves_pkey,CREATE UNIQUE INDEX event_waves_pkey ON public.event_waves USING btree (id)
event_waves,idx_event_waves_market,CREATE INDEX idx_event_waves_market ON public.event_waves USING btree (market_id)
event_waves,uq_event_waves_market_number,"CREATE UNIQUE INDEX uq_event_waves_market_number ON public.event_waves USING btree (market_id, wave_number)"
fulfillments,fulfillments_pkey,CREATE UNIQUE INDEX fulfillments_pkey ON public.fulfillments USING btree (id)
fulfillments,fulfillments_transaction_id_key,CREATE UNIQUE INDEX fulfillments_transaction_id_key ON public.fulfillments USING btree (transaction_id)
knowledge_articles,idx_knowledge_articles_published,"CREATE INDEX idx_knowledge_articles_published ON public.knowledge_articles USING btree (is_published, vertical_id, category, sort_order)"
knowledge_articles,idx_knowledge_articles_vertical,CREATE INDEX idx_knowledge_articles_vertical ON public.knowledge_articles USING btree (vertical_id)
knowledge_articles,knowledge_articles_pkey,CREATE UNIQUE INDEX knowledge_articles_pkey ON public.knowledge_articles USING btree (id)
listing_images,idx_listing_images_listing_id,CREATE INDEX idx_listing_images_listing_id ON public.listing_images USING btree (listing_id)
listing_images,idx_listing_images_order,"CREATE INDEX idx_listing_images_order ON public.listing_images USING btree (listing_id, display_order)"
listing_images,listing_images_pkey,CREATE UNIQUE INDEX listing_images_pkey ON public.listing_images USING btree (id)
listing_markets,idx_listing_markets_listing,CREATE INDEX idx_listing_markets_listing ON public.listing_markets USING btree (listing_id)
listing_markets,idx_listing_markets_market,CREATE INDEX idx_listing_markets_market ON public.listing_markets USING btree (market_id)
listing_markets,listing_markets_listing_id_market_id_key,"CREATE UNIQUE INDEX listing_markets_listing_id_market_id_key ON public.listing_markets USING btree (listing_id, market_id)"
listing_markets,listing_markets_pkey,CREATE UNIQUE INDEX listing_markets_pkey ON public.listing_markets USING btree (id)
listings,idx_listings_available,"CREATE INDEX idx_listings_available ON public.listings USING btree (available_from, available_to)"
listings,idx_listings_category,"CREATE INDEX idx_listings_category ON public.listings USING btree (vertical_id, category) WHERE (deleted_at IS NULL)"
listings,idx_listings_city,CREATE INDEX idx_listings_city ON public.listings USING btree (city)
listings,idx_listings_data,CREATE INDEX idx_listings_data ON public.listings USING gin (listing_data)
listings,idx_listings_location,"CREATE INDEX idx_listings_location ON public.listings USING btree (latitude, longitude) WHERE (latitude IS NOT NULL)"
listings,idx_listings_premium_window,CREATE INDEX idx_listings_premium_window ON public.listings USING btree (premium_window_ends_at) WHERE (premium_window_ends_at IS NOT NULL)
listings,idx_listings_quantity_unit,CREATE INDEX idx_listings_quantity_unit ON public.listings USING btree (quantity_unit) WHERE (quantity_unit IS NOT NULL)
listings,idx_listings_search_vector,CREATE INDEX idx_listings_search_vector ON public.listings USING gin (search_vector)
listings,idx_listings_status,CREATE INDEX idx_listings_status ON public.listings USING btree (status)
listings,idx_listings_vendor,CREATE INDEX idx_listings_vendor ON public.listings USING btree (vendor_profile_id)
listings,idx_listings_vendor_created,"CREATE INDEX idx_listings_vendor_created ON public.listings USING btree (vendor_profile_id, created_at DESC) WHERE (deleted_at IS NULL)"
listings,idx_listings_vendor_status,"CREATE INDEX idx_listings_vendor_status ON public.listings USING btree (vendor_profile_id, status) WHERE (deleted_at IS NULL)"
