proname,args,owner
checkauth,"text, text, text",postgis
checkauthtrigger,,postgis
contains_2d,"box2df, geometry",postgis
contains_2d,"geometry, box2df",postgis
contains_2d,"box2df, box2df",postgis
disablelongtransactions,,postgis
dropgeometrycolumn,"table_name character varying, column_name character varying",postgis
dropgeometrycolumn,"schema_name character varying, table_name character varying, column_name character varying",postgis
dropgeometrycolumn,"catalog_name character varying, schema_name character varying, table_name character varying, column_name character varying",postgis
dropgeometrytable,"catalog_name character varying, schema_name character varying, table_name character varying",postgis
dropgeometrytable,"schema_name character varying, table_name character varying",postgis
dropgeometrytable,table_name character varying,postgis
enablelongtransactions,,postgis
equals,"geom1 geometry, geom2 geometry",postgis
find_srid,"character varying, character varying, character varying",postgis
geog_brin_inclusion_add_value,"internal, internal, internal, internal",postgis
geography,bytea,postgis
geography,geometry,postgis
geography,"geography, integer, boolean",postgis
geography_analyze,internal,postgis
geography_cmp,"geography, geography",postgis
geography_distance_knn,"geography, geography",postgis
geography_eq,"geography, geography",postgis
geography_ge,"geography, geography",postgis
geography_gist_compress,internal,postgis
geography_gist_consistent,"internal, geography, integer",postgis
geography_gist_decompress,internal,postgis
geography_gist_distance,"internal, geography, integer",postgis
geography_gist_penalty,"internal, internal, internal",postgis
geography_gist_picksplit,"internal, internal",postgis
geography_gist_same,"box2d, box2d, internal",postgis
geography_gist_union,"bytea, internal",postgis
geography_gt,"geography, geography",postgis
geography_in,"cstring, oid, integer",postgis
geography_le,"geography, geography",postgis
geography_lt,"geography, geography",postgis
geography_out,geography,postgis
geography_overlaps,"geography, geography",postgis
geography_recv,"internal, oid, integer",postgis
geography_send,geography,postgis
geography_spgist_choose_nd,"internal, internal",postgis
geography_spgist_compress_nd,internal,postgis
geography_spgist_config_nd,"internal, internal",postgis
geography_spgist_inner_consistent_nd,"internal, internal",postgis
geography_spgist_leaf_consistent_nd,"internal, internal",postgis
geography_spgist_picksplit_nd,"internal, internal",postgis
geography_typmod_in,cstring[],postgis
geography_typmod_out,integer,postgis
geom2d_brin_inclusion_add_value,"internal, internal, internal, internal",postgis
geom3d_brin_inclusion_add_value,"internal, internal, internal, internal",postgis
geom4d_brin_inclusion_add_value,"internal, internal, internal, internal",postgis
geometry,"geometry, integer, boolean",postgis
geometry,geography,postgis
geometry,box2d,postgis
geometry,box3d,postgis
geometry,text,postgis
geometry,bytea,postgis
geometry,point,postgis
geometry,path,postgis
geometry,polygon,postgis
