function_name,arguments,return_type,security
st_patchn,"geometry, integer",geometry,SECURITY INVOKER
st_perimeter,"geog geography, use_spheroid boolean DEFAULT true",double precision,SECURITY INVOKER
st_perimeter,geometry,double precision,SECURITY INVOKER
st_perimeter2d,geometry,double precision,SECURITY INVOKER
st_point,"double precision, double precision, srid integer",geometry,SECURITY INVOKER
st_point,"double precision, double precision",geometry,SECURITY INVOKER
st_pointfromgeohash,"text, integer DEFAULT NULL::integer",geometry,SECURITY INVOKER
st_pointfromtext,text,geometry,SECURITY INVOKER
st_pointfromtext,"text, integer",geometry,SECURITY INVOKER
st_pointfromwkb,"bytea, integer",geometry,SECURITY INVOKER
st_pointfromwkb,bytea,geometry,SECURITY INVOKER
st_pointinsidecircle,"geometry, double precision, double precision, double precision",boolean,SECURITY INVOKER
st_pointm,"xcoordinate double precision, ycoordinate double precision, mcoordinate double precision, srid integer DEFAULT 0",geometry,SECURITY INVOKER
st_pointn,"geometry, integer",geometry,SECURITY INVOKER
st_pointonsurface,geometry,geometry,SECURITY INVOKER
st_points,geometry,geometry,SECURITY INVOKER
st_pointz,"xcoordinate double precision, ycoordinate double precision, zcoordinate double precision, srid integer DEFAULT 0",geometry,SECURITY INVOKER
st_pointzm,"xcoordinate double precision, ycoordinate double precision, zcoordinate double precision, mcoordinate double precision, srid integer DEFAULT 0",geometry,SECURITY INVOKER
st_polyfromtext,"text, integer",geometry,SECURITY INVOKER
st_polyfromtext,text,geometry,SECURITY INVOKER
st_polyfromwkb,bytea,geometry,SECURITY INVOKER
st_polyfromwkb,"bytea, integer",geometry,SECURITY INVOKER
st_polygon,"geometry, integer",geometry,SECURITY INVOKER
st_polygonfromtext,"text, integer",geometry,SECURITY INVOKER
st_polygonfromtext,text,geometry,SECURITY INVOKER
st_polygonfromwkb,"bytea, integer",geometry,SECURITY INVOKER
st_polygonfromwkb,bytea,geometry,SECURITY INVOKER
st_polygonize,geometry[],geometry,SECURITY INVOKER
st_project,"geog geography, distance double precision, azimuth double precision",geography,SECURITY INVOKER
st_quantizecoordinates,"g geometry, prec_x integer, prec_y integer DEFAULT NULL::integer, prec_z integer DEFAULT NULL::integer, prec_m integer DEFAULT NULL::integer",geometry,SECURITY INVOKER
st_reduceprecision,"geom geometry, gridsize double precision",geometry,SECURITY INVOKER
st_relate,"geom1 geometry, geom2 geometry",text,SECURITY INVOKER
st_relate,"geom1 geometry, geom2 geometry, text",boolean,SECURITY INVOKER
st_relate,"geom1 geometry, geom2 geometry, integer",text,SECURITY INVOKER
st_relatematch,"text, text",boolean,SECURITY INVOKER
st_removepoint,"geometry, integer",geometry,SECURITY INVOKER
st_removerepeatedpoints,"geom geometry, tolerance double precision DEFAULT 0.0",geometry,SECURITY INVOKER
st_reverse,geometry,geometry,SECURITY INVOKER
st_rotate,"geometry, double precision",geometry,SECURITY INVOKER
st_rotate,"geometry, double precision, double precision, double precision",geometry,SECURITY INVOKER
st_rotate,"geometry, double precision, geometry",geometry,SECURITY INVOKER
st_rotatex,"geometry, double precision",geometry,SECURITY INVOKER
st_rotatey,"geometry, double precision",geometry,SECURITY INVOKER
st_rotatez,"geometry, double precision",geometry,SECURITY INVOKER
st_scale,"geometry, double precision, double precision",geometry,SECURITY INVOKER
st_scale,"geometry, double precision, double precision, double precision",geometry,SECURITY INVOKER
st_scale,"geometry, geometry",geometry,SECURITY INVOKER
st_scale,"geometry, geometry, origin geometry",geometry,SECURITY INVOKER
st_scroll,"geometry, geometry",geometry,SECURITY INVOKER
st_segmentize,"geometry, double precision",geometry,SECURITY INVOKER
st_segmentize,"geog geography, max_segment_length double precision",geography,SECURITY INVOKER
st_seteffectivearea,"geometry, double precision DEFAULT '-1'::integer, integer DEFAULT 1",geometry,SECURITY INVOKER
st_setpoint,"geometry, integer, geometry",geometry,SECURITY INVOKER
st_setsrid,"geom geometry, srid integer",geometry,SECURITY INVOKER
st_setsrid,"geog geography, srid integer",geography,SECURITY INVOKER
st_sharedpaths,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_shiftlongitude,geometry,geometry,SECURITY INVOKER
st_shortestline,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_simplify,"geometry, double precision, boolean",geometry,SECURITY INVOKER
st_simplify,"geometry, double precision",geometry,SECURITY INVOKER
st_simplifypolygonhull,"geom geometry, vertex_fraction double precision, is_outer boolean DEFAULT true",geometry,SECURITY INVOKER
st_simplifypreservetopology,"geometry, double precision",geometry,SECURITY INVOKER
st_simplifyvw,"geometry, double precision",geometry,SECURITY INVOKER
st_snap,"geom1 geometry, geom2 geometry, double precision",geometry,SECURITY INVOKER
st_snaptogrid,"geometry, double precision, double precision",geometry,SECURITY INVOKER
st_snaptogrid,"geometry, double precision",geometry,SECURITY INVOKER
st_snaptogrid,"geom1 geometry, geom2 geometry, double precision, double precision, double precision, double precision",geometry,SECURITY INVOKER
st_snaptogrid,"geometry, double precision, double precision, double precision, double precision",geometry,SECURITY INVOKER
st_split,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_square,"size double precision, cell_i integer, cell_j integer, origin geometry DEFAULT '010100000000000000000000000000000000000000'::geometry",geometry,SECURITY INVOKER
st_squaregrid,"size double precision, bounds geometry, OUT geom geometry, OUT i integer, OUT j integer",SETOF record,SECURITY INVOKER
st_srid,geom geometry,integer,SECURITY INVOKER
st_srid,geog geography,integer,SECURITY INVOKER
st_startpoint,geometry,geometry,SECURITY INVOKER
st_subdivide,"geom geometry, maxvertices integer DEFAULT 256, gridsize double precision DEFAULT '-1.0'::numeric",SETOF geometry,SECURITY INVOKER
st_summary,geometry,text,SECURITY INVOKER
st_summary,geography,text,SECURITY INVOKER
st_swapordinates,"geom geometry, ords cstring",geometry,SECURITY INVOKER
st_symdifference,"geom1 geometry, geom2 geometry, gridsize double precision DEFAULT '-1.0'::numeric",geometry,SECURITY INVOKER
st_symmetricdifference,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_tileenvelope,"zoom integer, x integer, y integer, bounds geometry DEFAULT '0102000020110F00000200000093107C45F81B73C193107C45F81B73C193107C45F81B734193107C45F81B7341'::geometry, margin double precision DEFAULT 0.0",geometry,SECURITY INVOKER
st_touches,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
st_transform,"geometry, integer",geometry,SECURITY INVOKER
st_transform,"geom geometry, to_proj text",geometry,SECURITY INVOKER
st_transform,"geom geometry, from_proj text, to_srid integer",geometry,SECURITY INVOKER
st_transform,"geom geometry, from_proj text, to_proj text",geometry,SECURITY INVOKER
st_translate,"geometry, double precision, double precision, double precision",geometry,SECURITY INVOKER
st_translate,"geometry, double precision, double precision",geometry,SECURITY INVOKER
st_transscale,"geometry, double precision, double precision, double precision, double precision",geometry,SECURITY INVOKER
st_triangulatepolygon,g1 geometry,geometry,SECURITY INVOKER
st_unaryunion,"geometry, gridsize double precision DEFAULT '-1.0'::numeric",geometry,SECURITY INVOKER
st_union,"geom1 geometry, geom2 geometry, gridsize double precision",geometry,SECURITY INVOKER
st_union,geometry[],geometry,SECURITY INVOKER
st_union,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_voronoilines,"g1 geometry, tolerance double precision DEFAULT 0.0, extend_to geometry DEFAULT NULL::geometry",geometry,SECURITY INVOKER
st_voronoipolygons,"g1 geometry, tolerance double precision DEFAULT 0.0, extend_to geometry DEFAULT NULL::geometry",geometry,SECURITY INVOKER
st_within,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
st_wkbtosql,wkb bytea,geometry,SECURITY INVOKER
st_wkttosql,text,geometry,SECURITY INVOKER
st_wrapx,"geom geometry, wrap double precision, move double precision",geometry,SECURITY INVOKER
st_x,geometry,double precision,SECURITY INVOKER
st_xmax,box3d,double precision,SECURITY INVOKER
st_xmin,box3d,double precision,SECURITY INVOKER
st_y,geometry,double precision,SECURITY INVOKER
st_ymax,box3d,double precision,SECURITY INVOKER
st_ymin,box3d,double precision,SECURITY INVOKER
st_z,geometry,double precision,SECURITY INVOKER
st_zmax,box3d,double precision,SECURITY INVOKER
st_zmflag,geometry,smallint,SECURITY INVOKER
st_zmin,box3d,double precision,SECURITY INVOKER
subscribe_to_market_box_if_capacity,"p_offering_id uuid, p_buyer_user_id uuid, p_order_id uuid, p_total_paid_cents integer, p_start_date date, p_term_weeks integer, p_stripe_payment_intent_id text",json,SECURITY DEFINER
subscribe_to_market_box_if_capacity,"p_offering_id uuid, p_buyer_user_id uuid, p_order_id uuid, p_total_paid_cents integer, p_start_date date, p_term_weeks integer, p_stripe_payment_intent_id text, p_pickup_frequency text DEFAULT 'weekly'::text",json,SECURITY DEFINER
sync_event_request_to_market,,trigger,SECURITY DEFINER
sync_verification_status,,trigger,SECURITY DEFINER
text,geometry,text,SECURITY INVOKER
track_vendor_status_change,,trigger,SECURITY DEFINER
trg_refresh_vendor_location,,trigger,SECURITY DEFINER
trigger_cleanup_cart_on_schedule_change,,trigger,SECURITY DEFINER
trigger_generate_referral_code,,trigger,SECURITY INVOKER
unlockrows,text,integer,SECURITY INVOKER
update_error_reports_updated_at,,trigger,SECURITY INVOKER
update_error_resolutions_updated_at,,trigger,SECURITY INVOKER
update_market_booth_inventory_updated_at,,trigger,SECURITY INVOKER
update_market_booth_placeholders_updated_at,,trigger,SECURITY INVOKER
update_support_tickets_updated_at,,trigger,SECURITY INVOKER
update_updated_at_column,,trigger,SECURITY INVOKER
update_vendor_activity_on_listing,,trigger,SECURITY DEFINER
update_vendor_activity_on_order,,trigger,SECURITY DEFINER
update_vendor_fee_balance,,trigger,SECURITY DEFINER
update_vendor_last_login,,trigger,SECURITY DEFINER
update_vendor_rating_stats,,trigger,SECURITY INVOKER
update_weekly_booth_rentals_updated_at,,trigger,SECURITY INVOKER
updategeometrysrid,"character varying, character varying, integer",text,SECURITY INVOKER
updategeometrysrid,"catalogn_name character varying, schema_name character varying, table_name character varying, column_name character varying, new_srid_in integer",text,SECURITY INVOKER
updategeometrysrid,"character varying, character varying, character varying, integer",text,SECURITY INVOKER
user_buyer_order_ids,,SETOF uuid,SECURITY DEFINER
user_is_subscription_buyer,sub_id uuid,boolean,SECURITY DEFINER
user_is_subscription_vendor,sub_id uuid,boolean,SECURITY DEFINER
user_owns_vendor,vendor_id uuid,boolean,SECURITY DEFINER
user_vendor_market_ids,,SETOF uuid,SECURITY DEFINER
user_vendor_order_ids,,SETOF uuid,SECURITY DEFINER
user_vendor_profile_ids,,SETOF uuid,SECURITY DEFINER
validate_cart_item_inventory,"p_listing_id uuid, p_quantity integer",boolean,SECURITY DEFINER
validate_cart_item_market,"p_listing_id uuid, p_market_id uuid",boolean,SECURITY DEFINER
validate_cart_item_schedule,"p_listing_id uuid, p_schedule_id uuid, p_pickup_date date",boolean,SECURITY DEFINER
validate_pickup_slot_time,"p_vendor_profile_id uuid, p_market_id uuid, p_pickup_date date, p_pickup_time time without time zone",boolean,SECURITY DEFINER
vendor_has_active_schedules,"p_vendor_profile_id uuid, p_market_id uuid",boolean,SECURITY DEFINER
vendor_skip_week,"p_pickup_id uuid, p_reason text DEFAULT NULL::text","TABLE(skipped_pickup_id uuid, extension_pickup_id uuid, new_scheduled_date date, new_extended_weeks integer)",SECURITY DEFINER
