source_table,source_column,target_table,target_column,constraint_name
vendor_date_blackouts,vendor_profile_id,vendor_profiles,id,vendor_date_blackouts_vendor_profile_id_fkey
vendor_favorites,vendor_profile_id,vendor_profiles,id,vendor_favorites_vendor_profile_id_fkey
vendor_fee_balance,vendor_profile_id,vendor_profiles,id,vendor_fee_balance_vendor_profile_id_fkey
vendor_fee_ledger,order_id,orders,id,vendor_fee_ledger_order_id_fkey
vendor_fee_ledger,order_item_id,order_items,id,vendor_fee_ledger_order_item_id_fkey
vendor_fee_ledger,vendor_profile_id,vendor_profiles,id,vendor_fee_ledger_vendor_profile_id_fkey
vendor_feedback,vendor_profile_id,vendor_profiles,id,vendor_feedback_vendor_profile_id_fkey
vendor_feedback,vertical_id,verticals,vertical_id,vendor_feedback_vertical_id_fkey
vendor_leads,vertical_id,verticals,vertical_id,vendor_leads_vertical_id_fkey
vendor_location_cache,source_market_id,markets,id,vendor_location_cache_source_market_id_fkey
vendor_location_cache,vendor_profile_id,vendor_profiles,id,vendor_location_cache_vendor_profile_id_fkey
vendor_market_agreement_acceptances,market_id,markets,id,vendor_market_agreement_acceptances_market_id_fkey
vendor_market_agreement_acceptances,vendor_profile_id,vendor_profiles,id,vendor_market_agreement_acceptances_vendor_profile_id_fkey
vendor_market_schedules,market_id,markets,id,vendor_market_schedules_market_id_fkey
vendor_market_schedules,schedule_id,market_schedules,id,vendor_market_schedules_schedule_id_fkey
vendor_market_schedules,vendor_profile_id,vendor_profiles,id,vendor_market_schedules_vendor_profile_id_fkey
vendor_offers,vendor_profile_id,vendor_profiles,id,vendor_offers_vendor_profile_id_fkey
vendor_offers,vertical_id,verticals,vertical_id,vendor_offers_vertical_id_fkey
vendor_payouts,market_box_pickup_id,market_box_pickups,id,vendor_payouts_market_box_pickup_id_fkey
vendor_payouts,market_box_subscription_id,market_box_subscriptions,id,vendor_payouts_market_box_subscription_id_fkey
vendor_payouts,order_item_id,order_items,id,vendor_payouts_order_item_id_fkey
vendor_payouts,vendor_profile_id,vendor_profiles,id,vendor_payouts_vendor_profile_id_fkey
vendor_profiles,home_market_id,markets,id,vendor_profiles_home_market_id_fkey
vendor_profiles,organization_id,organizations,id,vendor_profiles_organization_id_fkey
vendor_profiles,referred_by_vendor_id,vendor_profiles,id,vendor_profiles_referred_by_vendor_id_fkey
vendor_profiles,user_id,user_profiles,user_id,vendor_profiles_user_id_fkey
vendor_profiles,vertical_id,verticals,vertical_id,vendor_profiles_vertical_id_fkey
vendor_quality_findings,batch_id,vendor_quality_scan_log,id,vendor_quality_findings_batch_id_fkey
vendor_quality_findings,vendor_profile_id,vendor_profiles,id,vendor_quality_findings_vendor_profile_id_fkey
vendor_quality_findings,vertical_id,verticals,vertical_id,vendor_quality_findings_vertical_id_fkey
vendor_referral_credits,referred_vendor_id,vendor_profiles,id,vendor_referral_credits_referred_vendor_id_fkey
vendor_referral_credits,referrer_vendor_id,vendor_profiles,id,vendor_referral_credits_referrer_vendor_id_fkey
vendor_verifications,coi_verified_by,user_profiles,id,vendor_verifications_coi_verified_by_fkey
vendor_verifications,reviewed_by,user_profiles,id,vendor_verifications_reviewed_by_fkey
vendor_verifications,vendor_profile_id,vendor_profiles,id,vendor_verifications_vendor_profile_id_fkey
vendor_vip_customers,vendor_profile_id,vendor_profiles,id,vendor_vip_customers_vendor_profile_id_fkey
vertical_admins,vertical_id,verticals,vertical_id,vertical_admins_vertical_id_fkey
weekly_booth_rentals,agreement_acceptance_id,vendor_market_agreement_acceptances,id,weekly_booth_rentals_agreement_acceptance_id_fkey
weekly_booth_rentals,group_id,booth_booking_groups,id,weekly_booth_rentals_group_id_fkey
weekly_booth_rentals,inventory_id,market_booth_inventory,id,weekly_booth_rentals_inventory_id_fkey
weekly_booth_rentals,market_id,markets,id,weekly_booth_rentals_market_id_fkey
weekly_booth_rentals,vendor_profile_id,vendor_profiles,id,weekly_booth_rentals_vendor_profile_id_fkey
